movie,budge,gross,comment_count,view_count,like_count,year
Lean on Pete,8000000,2455027,175,527927,2375,2018
Acrimony,20000000,46627836,2986,4892942,31504,2018
Ready Player One,150000000,579290136,45242,30162809,265952,2018
"Paul, Apostle of Christ",5000000,25529498,2929,3263314,30455,2018
Unsane,1500000,14244931,2854,18631271,20091,2018
Sherlock Gnomes,59000000,87527651,1888,1981847,12771,2018
Pacific Rim: Uprising,155000000,290930148,11580,7766447,54490,2018
"Love, Simon",10000000,65520633,10758,28519165,142699,2018
Tomb Raider,90000000,273477501,23277,20115725,112107,2018
I Can Only Imagine,7000000,85642586,1497,4243937,24636,2018
The Hurricane Heist,40000000,30963684,842,4108976,7519,2018
The Strangers: Prey at Night,5000000,32144262,2678,4560913,22234,2018
A Wrinkle in Time,103000000,133401882,10191,9417835,56367,2018
Thoroughbreds,5000000,3187302,597,5489241,9077,2018
Red Sparrow,69000000,145951861,5915,29739377,56579,2018
Death Wish,30000000,48575965,1851,10916964,13085,2018
Annihilation,55000000,43070915,12361,18000917,68565,2018
Game Night,37000000,117378084,1041,9054445,20375,2018
Early Man,50000000,45285890,714,2809584,8837,2018
Black Panther,200000000,1348258224,54395,44206525,446872,2018
Peter Rabbit,50000000,347132280,3370,5919670,13878,2018
The 15:17 to Paris,30000000,56096200,2503,5373423,19465,2018
Fifty Shades Freed,55000000,371350619,304,1088150,8151,2018
Blood Feast,1200000,8708,54,83942,331,2018
Winchester,3500000,45960255,1227,17065134,13551,2018
Bilal: A New Breed of Hero,30000000,648599,31,29862,340,2018
Maze Runner: The Death Cure,61000000,265878536,10302,18864418,103647,2018
Den of Thieves,30000000,80131391,1683,5976642,21869,2018
Forever My Girl,3500000,16376066,437,2402625,21401,2018
12 Strong,35000000,71118378,7140,13463692,78332,2018
The Commuter,40000000,101985431,1541,8633291,15362,2018
Proud Mary,30000000,21709539,942,3394456,8080,2018
Insidious: The Last Key,10000000,172811971,6200,21300037,125814,2018
Matilda,25000000,9370285,519,3407831,8302,2017
Posledniy bogatyr,8500000,30700192,342,1205941,4532,2017
Perfectos Desconocidos,4000000,31166312,577,564956,2251,2017
Utya 22. juli,3600000,173156,2551,2224047,10774,2017
The Islands,1200000,0,207,699500,1942,2017
The Thousand Miles,20000000,0,1,39227,72,2017
Phantom Thread,35000000,47410406,1954,10574917,26765,2017
Mollys Game,30000000,53296424,1251,8319089,14953,2017
The Post,50000000,179748880,2950,17308576,20052,2017
Pitch Perfect 3,45000000,185736412,5497,13300047,116481,2017
Father Figures,25000000,21038441,259,2949485,3802,2017
Downsizing,68000000,54462971,4262,10580547,27328,2017
Jumanji: Welcome to the Jungle,90000000,964496193,22807,31991225,170119,2017
The Greatest Showman,84000000,386665550,5272,20825006,92420,2017
Ferdinand,111000000,289843038,878,6673624,10370,2017
Star Wars Ep. VIII: The Last Jedi,317000000,1316721747,92178,53210814,764128,2017
Bright,90000000,0,9870,10234715,87993,2017
Just Getting Started,22000000,6756412,101,611871,1539,2017
"I, Tonya",11000000,53797409,399,15390969,3141,2017
The Shape of Water,19500000,195790794,9860,23005614,115398,2017
Daisy Winters,4500000,0,46,71285,692,2017
The Disaster Artist,10000000,28717667,2701,11356039,39230,2017
Darkest Hour,30000000,150807172,2593,5186922,12751,2017
Coco,175000000,798008101,1012,2254487,10595,2017
The Star,20000000,62758010,0,2844211,3695,2017
Justice League,300000000,655945209,64200,36013365,415581,2017
Wonder,20000000,304604712,15795,12206507,172390,2017
"Roman J. Israel, Esq.",22000000,12967012,274,2519954,2741,2017
"Three Billboards Outside Ebbing, Missouri",12000000,160191915,3075,8828628,36033,2017
Daddys Home 2,70000000,175807183,3767,11716065,59729,2017
Murder on the Orient Express,55000000,345922730,8644,12807174,71981,2017
LBJ,20000000,2507181,612,543281,2721,2017
